Event,Team,Date,Time,Location,Description
Basketball Game,MATADORS,2/9/2013,1:00 PM,Salem Middle School,KINGS VS MATADORS
Basketball Game,BAZOOKAS,2/9/2013,2:00 PM,Salem Middle School,BAZOOKAS VS VOLCANOS
Basketball Game,VOLCANOS,2/9/2013,2:00 PM,Salem Middle School,BAZOOKAS VS VOLCANOS
Basketball Game,JUGGERNAUTS,2/9/2013,3:00 PM,Salem Middle School,JUGGERNAUTS VS PRAIRIE DOGS
Basketball Game,PRAIRIE DOGS,2/9/2013,3:00 PM,Salem Middle School,JUGGERNAUTS VS PRAIRIE DOGS
Basketball Game,JACKHAMMERS,2/9/2013,4:00 PM,Salem Middle School,JACKHAMMERS VS BUZZSAWS
Basketball Game,BUZZSAWS,2/9/2013,4:00 PM,Salem Middle School,JACKHAMMERS VS BUZZSAWS
Basketball Game,MATADORS,2/16/2013,9:00 AM,Salem Middle School,MATADORS VS BUZZSAWS
Basketball Game,BUZZSAWS,2/16/2013,9:00 AM,Salem Middle School,MATADORS VS BUZZSAWS
Basketball Game,YELLOW JACKETS,2/16/2013,10:00 AM,Salem Middle School,YELLOW JACKETS VS PYTHONS
Basketball Game,PYTHONS,2/16/2013,10:00 AM,Salem Middle School,YELLOW JACKETS VS PYTHONS
Basketball Game,BOBCATS,2/16/2013,11:00 AM,Salem Middle School,BOBCATS VS JUGGERNAUTS
Basketball Game,JUGGERNAUTS,2/16/2013,11:00 AM,Salem Middle School,BOBCATS VS JUGGERNAUTS
Basketball Game,ZIPS,2/16/2013,12:00 PM,Salem Middle School,ZIPS VS JACKHAMMERS
Basketball Game,JACKHAMMERS,2/16/2013,12:00 PM,Salem Middle School,ZIPS VS JACKHAMMERS
Basketball Game,BAZOOKAS,2/16/2013,1:00 PM,Salem Middle School,BAZOOKAS VS BEARS
Basketball Game,BEARS,2/16/2013,1:00 PM,Salem Middle School,BAZOOKAS VS BEARS
Basketball Game,PRAIRIE DOGS,2/16/2013,2:00 PM,Salem Middle School,PRAIRIE DOGS VS THUNDERBOLTS
Basketball Game,THUNDERBOLTS,2/16/2013,2:00 PM,Salem Middle School,PRAIRIE DOGS VS THUNDERBOLTS
Basketball Game,BISONS,1/5/2013,12:00 PM,Salem Middle School,BAZOOKAS VS BISONS
